post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47685644,Introduction to Nintendo DS Programming,technology,149,23,medbar,2026-04-09 23:38:26,0.15333333333333332,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,171,143,kisamoto,2026-04-09 23:38:28,0.8313953488372093,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,85,8,juretriglav,2026-04-09 23:38:30,0.09302325581395349,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,100,75,SirHound,2026-04-09 23:38:33,0.7425742574257426,False
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,202,67,akshay2603,2026-04-09 23:38:35,0.33004926108374383,False
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,25,32,meryll_dindin,2026-04-09 23:38:39,1.2307692307692308,False
47699181,Open source security at Astral,technology,315,75,vinhnx,2026-04-09 23:38:40,0.23734177215189872,True
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,10,1,hopechong,2026-04-09 23:38:45,0.09090909090909091,False
47701233,Claude mixes up who said what,technology,351,296,sixhobbits,2026-04-09 23:38:47,0.8409090909090909,True
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,384,46,WerWolv,2026-04-09 23:38:50,0.11948051948051948,True
47660434,C# in Unity 2026: Writing more modern code,technology,65,75,hacker_13,2026-04-09 23:38:54,1.1363636363636365,False
47645010,Dr. Dobb's Developer Library DVD 6 (2010),technology,121,44,kristianp,2026-04-09 23:38:56,0.36065573770491804,False
47687273,Git commands I run before reading any code,technology,2166,462,grepsedawk,2026-04-09 23:38:59,0.2131979695431472,True
47706482,"AI, Unemployment and Work",technology,6,1,speckx,2026-04-09 23:39:02,0.14285714285714285,False
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,34,11,bjord,2026-04-09 23:39:05,0.3142857142857143,False
47706113,"Desalination Technology, by the Numbers",technology,8,0,Brajeshwar,2026-04-09 23:39:07,0.0,False
47700460,Ask HN: What are you building that's not AI related?,technology,94,118,meander_water,2026-04-09 23:39:12,1.2421052631578948,False
47696035,John Deere to pay $99M in right-to-repair settlement,technology,361,118,CharlesW,2026-04-09 23:39:14,0.3259668508287293,True
47689237,US cities are axing Flock Safety surveillance technology,technology,737,414,giuliomagnifico,2026-04-09 23:39:17,0.5609756097560976,True
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,404,188,nickvec,2026-04-09 23:39:20,0.4641975308641975,True
47679121,Project Glasswing: Securing critical software for the AI era,technology,1506,813,Ryan5453,2026-04-09 23:39:23,0.5394824153948241,True
47656518,Your File System Is Already A Graph Database,technology,179,75,alxndr,2026-04-09 23:39:24,0.4166666666666667,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,321,56,chrsw,2026-04-09 23:39:29,0.17391304347826086,True
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 23:39:33,0.23636363636363636,False
47698067,You Can Just Print an Air Purifier,technology,34,6,zdw,2026-04-09 23:39:38,0.17142857142857143,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,381,360,chabons,2026-04-09 23:39:00,0.9424083769633508,True
47634422,Native Americans had dice 12k years ago,worldnews,135,86,delichon,2026-04-09 23:39:33,0.6323529411764706,False
47702861,Encrypted Client Hello: How it was blocked in Russia and next steps,worldnews,21,4,grittygrease,2026-04-09 23:39:45,0.18181818181818182,False
47682276,US and Iran agree to provisional ceasefire,worldnews,597,1989,g-b-r,2026-04-09 23:40:01,3.3260869565217392,True
47703398,Hackers exploiting Acrobat Reader zero-day flaw since December,worldnews,7,0,kevcampb,2026-04-09 23:40:07,0.0,False
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,613,259,zixuanlimit,2026-04-09 23:40:15,0.4218241042345277,True
47690434,Iran demands Bitcoin fees for ships passing Hormuz during ceasefire,worldnews,166,267,pavlov,2026-04-09 23:40:29,1.598802395209581,False
47680124,IPv6 is the only way forward,worldnews,101,306,quaintdev,2026-04-09 23:40:33,3.0,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-09 23:40:48,0.22608695652173913,False
47698082,Newly created Polymarket accounts win big on well-timed Iran ceasefire bets,worldnews,151,128,mitchbob,2026-04-09 23:40:49,0.8421052631578947,False
47679155,Assessing Claude Mythos Preview's cybersecurity capabilities,worldnews,316,52,sweis,2026-04-09 23:41:05,0.1640378548895899,True
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,55,18,zdw,2026-04-09 23:41:07,0.32142857142857145,False
47672778,Breaking the console: a brief history of video game security,worldnews,96,26,sprado,2026-04-09 23:41:08,0.26804123711340205,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 23:41:50,0.49382716049382713,True
